jira_key,dev_start_ts,review_start_ts,review_end_ts,testing_end_ts,dev_duration_hours,review_duration_hours,testing_duration_hours,exception_reason
BOOKKEEPER-631,2013-06-20T05:38:39Z,,,2016-06-18T00:19:32Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-632,2013-06-20T10:02:07Z,,,2013-08-21T13:55:26Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-633,2013-06-25T09:42:57Z,,,2013-06-26T01:35:40Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-634,2013-06-25T18:42:05Z,,,2015-01-13T12:09:14Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-635,2013-06-26T14:14:32Z,,,2013-07-20T18:17:06Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-636,2013-06-26T17:47:06Z,,,2013-07-04T15:19:46Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-637,2013-06-26T21:13:55Z,,,2013-07-03T10:00:37Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-638,2013-06-28T01:34:35Z,,,2013-10-11T14:19:01Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-639,2013-07-01T05:00:24Z,,,2017-07-28T00:00:00Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-640,2013-07-02T19:23:11Z,,,2013-10-02T04:23:55Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-641,2013-07-02T19:53:15Z,,,2013-07-03T15:39:23Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-642,2013-07-05T17:15:54Z,,,2013-07-24T14:56:31Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-643,2013-07-06T20:53:36Z,,,2014-01-22T13:35:27Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-644,2013-07-07T01:13:06Z,,,2014-02-05T21:44:24Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-645,2013-07-07T10:01:22Z,,,2013-10-02T04:54:47Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-646,2013-07-08T06:11:20Z,,,2013-07-20T18:28:01Z,,,,missing_review_start;missing_review_end
